prompt,reference,generated,self_loss,self_ppl,cond_loss,cond_ppl
"There is mild bibasilar atelectasis. No pleural effusion or pneumothorax. Stable postoperative changes are noted. No new focal airspace disease. Stable postoperative changes are noted. No new focal airspace disease. Diffuse interstitial markings are present, likely representing pulmonary edema. Endotracheal tube is appropriately positioned. No acute osseous abnormality.",Stable exam with no interval change.,No acute cardiopulmonary abnormality.,5.039434432983398,154.3826765805383,4.054793834686279,57.67327154228172
"Stable postoperative changes are noted. No new focal airspace disease. Heart size is within normal limits. Lungs are clear without focal consolidation. Stable postoperative changes are noted. No new focal airspace disease. Diffuse interstitial markings are present, likely representing pulmonary edema. Heart size is within normal limits. Lungs are clear without focal consolidation.",Bibasilar atelectasis without consolidation.,No acute cardiopulmonary abnormality.,5.039434432983398,154.3826765805383,1.7877833843231201,5.976190855527413
Stable postoperative changes are noted. No new focal airspace disease. Endotracheal tube is appropriately positioned. No acute osseous abnormality. Heart size is within normal limits. Lungs are clear without focal consolidation. Stable postoperative changes are noted. No new focal airspace disease. Heart size is within normal limits. Lungs are clear without focal consolidation.,Stable exam with no interval change.,No acute cardiopulmonary abnormality.,5.039434432983398,154.3826765805383,3.853456974029541,47.15579815387356
"Endotracheal tube is appropriately positioned. No acute osseous abnormality. Endotracheal tube is appropriately positioned. No acute osseous abnormality. Endotracheal tube is appropriately positioned. No acute osseous abnormality. There is mild bibasilar atelectasis. No pleural effusion or pneumothorax. Diffuse interstitial markings are present, likely representing pulmonary edema.",Mild pulmonary edema.,No acute cardiopulmonary abnormality.,5.039434432983398,154.3826765805383,1.0046484470367432,2.730947031526549
"Heart size is within normal limits. Lungs are clear without focal consolidation. Stable postoperative changes are noted. No new focal airspace disease. Diffuse interstitial markings are present, likely representing pulmonary edema. Heart size is within normal limits. Lungs are clear without focal consolidation. There is mild bibasilar atelectasis. No pleural effusion or pneumothorax.",No evidence of pneumonia or effusion.,No acute cardiopulmonary abnormality.,5.039434432983398,154.3826765805383,1.7921817302703857,6.002534101242447
"Diffuse interstitial markings are present, likely representing pulmonary edema. Diffuse interstitial markings are present, likely representing pulmonary edema. Endotracheal tube is appropriately positioned. No acute osseous abnormality. Diffuse interstitial markings are present, likely representing pulmonary edema. Heart size is within normal limits. Lungs are clear without focal consolidation.",Stable exam with no interval change.,No acute cardiopulmonary abnormality.,5.039434432983398,154.3826765805383,3.9987587928771973,54.53042445985803
Heart size is within normal limits. Lungs are clear without focal consolidation. Stable postoperative changes are noted. No new focal airspace disease. Stable postoperative changes are noted. No new focal airspace disease. Stable postoperative changes are noted. No new focal airspace disease. There is mild bibasilar atelectasis. No pleural effusion or pneumothorax.,No acute cardiopulmonary abnormality.,No acute cardiopulmonary abnormality.,5.039434432983398,154.3826765805383,0.35779181122779846,1.430167844596567
"Stable postoperative changes are noted. No new focal airspace disease. There is mild bibasilar atelectasis. No pleural effusion or pneumothorax. Diffuse interstitial markings are present, likely representing pulmonary edema. Diffuse interstitial markings are present, likely representing pulmonary edema. Endotracheal tube is appropriately positioned. No acute osseous abnormality.",Stable exam with no interval change.,No acute cardiopulmonary abnormality.,5.039434432983398,154.3826765805383,3.9221489429473877,50.50886891533425
Heart size is within normal limits. Lungs are clear without focal consolidation. Stable postoperative changes are noted. No new focal airspace disease. Heart size is within normal limits. Lungs are clear without focal consolidation. Stable postoperative changes are noted. No new focal airspace disease. Stable postoperative changes are noted. No new focal airspace disease.,Mild pulmonary edema.,No acute cardiopulmonary abnormality.,5.039434432983398,154.3826765805383,1.332330584526062,3.7898657053655955
Heart size is within normal limits. Lungs are clear without focal consolidation. Stable postoperative changes are noted. No new focal airspace disease. Endotracheal tube is appropriately positioned. No acute osseous abnormality. Heart size is within normal limits. Lungs are clear without focal consolidation. Endotracheal tube is appropriately positioned. No acute osseous abnormality.,Stable exam with no interval change.,No acute cardiopulmonary abnormality.,5.039434432983398,154.3826765805383,3.862748622894287,47.59599518335073
Endotracheal tube is appropriately positioned. No acute osseous abnormality. Endotracheal tube is appropriately positioned. No acute osseous abnormality. There is mild bibasilar atelectasis. No pleural effusion or pneumothorax. Endotracheal tube is appropriately positioned. No acute osseous abnormality. Heart size is within normal limits. Lungs are clear without focal consolidation.,Bibasilar atelectasis without consolidation.,No acute cardiopulmonary abnormality.,5.039434432983398,154.3826765805383,1.2501108646392822,3.4907299345254317
"There is mild bibasilar atelectasis. No pleural effusion or pneumothorax. Endotracheal tube is appropriately positioned. No acute osseous abnormality. Diffuse interstitial markings are present, likely representing pulmonary edema. There is mild bibasilar atelectasis. No pleural effusion or pneumothorax. Diffuse interstitial markings are present, likely representing pulmonary edema.",No evidence of pneumonia or effusion.,Mild bibasilar atelectasis.,6.194390296936035,489.9926039131868,1.7318344116210938,5.651010685900716
Heart size is within normal limits. Lungs are clear without focal consolidation. Endotracheal tube is appropriately positioned. No acute osseous abnormality. There is mild bibasilar atelectasis. No pleural effusion or pneumothorax. Stable postoperative changes are noted. No new focal airspace disease. There is mild bibasilar atelectasis. No pleural effusion or pneumothorax.,No evidence of pneumonia or effusion.,No acute cardiopulmonary abnormality.,5.039434432983398,154.3826765805383,1.8974378108978271,6.668785843493227
"There is mild bibasilar atelectasis. No pleural effusion or pneumothorax. Diffuse interstitial markings are present, likely representing pulmonary edema. Diffuse interstitial markings are present, likely representing pulmonary edema. There is mild bibasilar atelectasis. No pleural effusion or pneumothorax. There is mild bibasilar atelectasis. No pleural effusion or pneumothorax.",No acute cardiopulmonary abnormality.,No acute cardiopulmonary abnormality.,5.039434432983398,154.3826765805383,0.3899047076702118,1.4768400556474848
"There is mild bibasilar atelectasis. No pleural effusion or pneumothorax. Heart size is within normal limits. Lungs are clear without focal consolidation. Diffuse interstitial markings are present, likely representing pulmonary edema. Heart size is within normal limits. Lungs are clear without focal consolidation. There is mild bibasilar atelectasis. No pleural effusion or pneumothorax.",No acute cardiopulmonary abnormality.,No acute cardiopulmonary abnormality.,5.039434432983398,154.3826765805383,0.3825923204421997,1.4660802172839704
"There is mild bibasilar atelectasis. No pleural effusion or pneumothorax. There is mild bibasilar atelectasis. No pleural effusion or pneumothorax. Diffuse interstitial markings are present, likely representing pulmonary edema. Heart size is within normal limits. Lungs are clear without focal consolidation. There is mild bibasilar atelectasis. No pleural effusion or pneumothorax.",No evidence of pneumonia or effusion.,No acute cardiopulmonary abnormality.,5.039434432983398,154.3826765805383,1.7718679904937744,5.881830308876889
"Stable postoperative changes are noted. No new focal airspace disease. There is mild bibasilar atelectasis. No pleural effusion or pneumothorax. Diffuse interstitial markings are present, likely representing pulmonary edema. Diffuse interstitial markings are present, likely representing pulmonary edema. There is mild bibasilar atelectasis. No pleural effusion or pneumothorax.",Stable exam with no interval change.,No acute cardiopulmonary abnormality.,5.039434432983398,154.3826765805383,3.9857091903686523,53.823447016042635
"There is mild bibasilar atelectasis. No pleural effusion or pneumothorax. Diffuse interstitial markings are present, likely representing pulmonary edema. Endotracheal tube is appropriately positioned. No acute osseous abnormality. There is mild bibasilar atelectasis. No pleural effusion or pneumothorax. Endotracheal tube is appropriately positioned. No acute osseous abnormality.",No acute cardiopulmonary abnormality.,No acute cardiopulmonary abnormality.,5.039434432983398,154.3826765805383,0.48412206768989563,1.6227497188723068
"Stable postoperative changes are noted. No new focal airspace disease. There is mild bibasilar atelectasis. No pleural effusion or pneumothorax. There is mild bibasilar atelectasis. No pleural effusion or pneumothorax. Endotracheal tube is appropriately positioned. No acute osseous abnormality. Diffuse interstitial markings are present, likely representing pulmonary edema.",No acute cardiopulmonary abnormality.,No acute respiratory distress or complications.,5.909256935119629,368.43228457859504,0.5528113842010498,1.7381327141547291
